,initial,x2,x4,x8,,,initial,x2,x4,x8
new_bit7,bit7,bit‘7,bit’‘7,bit’‘’7,,new_bit7,bit7,bit6,bit5,bit4
new_bit6,bit6,bit‘6,bit’‘6,bit’‘’6,,new_bit6,bit6,bit5,bit4,bit3+bit7
new_bit5,bit5,bit‘5,bit’‘5,bit’‘’5,,new_bit5,bit5,bit4,bit3+bit7,bit2+bit7+bit6
new_bit4,bit4,bit‘4,bit’‘4,bit’‘’4,,new_bit4,bit4,bit3+bit7,bit2+bit7+bit6,bit1+bit6+bit5
new_bit3,bit3,bit‘3,bit’‘3,bit’‘’3,,new_bit3,bit3,bit2+bit7,bit1+bit6,bit0+bit7+bit5
new_bit2,bit2,bit‘2,bit’‘2,bit’‘’2,,new_bit2,bit2,bit1,bit0+bit7,bit7+bit6
new_bit1,bit1,bit‘1,bit’‘1,bit’‘’1,,new_bit1,bit1,bit0+bit7,bit7+bit6,bit6+bit5
new_bit0,bit0,bit‘0,bit’‘0,bit’‘’0,,new_bit0,bit0,bit7,bit6,bit5
,,,,,,,,,,
bit‘7,bit6,,,,,,,,,
bit‘6,bit5,,,,,,,,,
bit‘5,bit4,,,,,,,,,
bit‘4,bit3+bit7,,,,,,,,,
bit‘3,bit2+bit7,,,,,,,,,
bit‘2,bit1,,,,,,,,,
bit‘1,bit0+bit7,,,,,,,,,
bit‘0,bit7,,,,,,,,,
,,,,,,,,,,
bit’‘7,bit‘6,bit5,,,,,,,,
bit’‘6,bit‘5,bit4,,,,,,,,
bit’‘5,bit‘4,bit3+bit7,,,,,,,,
bit’‘4,bit‘3+bit‘7,bit2+bit7+bit6,,,,,,,,
bit’‘3,bit‘2+bit‘7,bit1+bit6,,,,,,,,
bit’‘2,bit‘1,bit0+bit7,,,,,,,,
bit’‘1,bit‘0+bit‘7,bit7+bit6,,,,,,,,
bit’‘0,bit‘7,bit6,,,,,,,,
,,,,,,,,,,
bit’‘’7,bit’‘6,bit'5,bit4,,,,,,,
bit’‘’6,bit’‘5,bit'4,bit3+bit7,,,,,,,
bit’‘’5,bit’‘4,bit'3+bit'7,bit2+bit7+bit6,,,,,,,
bit’‘’4,bit’‘3+bit’‘7,bit'2+bit'7+bit'6,bit1+bit6+bit5,,,,,,,
bit’‘’3,bit’‘2+bit’‘7,bit'1+bit'6,bit0+bit7+bit5,,,,,,,
bit’‘’2,bit’‘1,bit'0+bit'7,bit7+bit6,,,,,,,
bit’‘’1,bit’‘0+bit’‘7,bit'7+bit'6,bit6+bit5,,,,,,,
bit’‘’0,bit’‘7,bit'6,bit5,,,,,,,
,,,,,,,,,,
0E,00001110,xxx+xx+x,,,,,,,,
7,bit4,bit5,bit6,bit4+bit5+bit6,bit4+bit5+bit6,,,,,
6,bit3+bit7,bit4,bit5,bit3+bit7+bit4+bit5,bit3+bit7+bit4+bit5,,,,,
5,bit2+bit7+bit6,bit3+bit7,bit4,bit2+bit7+bit6+bit3+bit7+bit4,bit2+bit6+bit3+bit4,,,,,
4,bit1+bit6+bit5,bit2+bit7+bit6,bit3+bit7,bit1+bit6+bit5+bit2+bit7+bit6+bit3+bit7,bit1+bit5+bit2+bit3,,,,,
3,bit0+bit7+bit5,bit1+bit6,bit2+bit7,bit0+bit7+bit5+bit1+bit6+bit2+bit7,bit0+bit5+bit1+bit6+bit2,,,,,
2,bit7+bit6,bit0+bit7,bit1,bit7+bit6+bit0+bit7+bit1,bit6+bit0+bit1,,,,,
1,bit6+bit5,bit7+bit6,bit0+bit7,bit6+bit5+bit7+bit6+bit0+bit7,bit5+bit0,,,,,
0,bit5,bit6,bit7,bit5+bit6+bit7,bit5+bit6+bit7,,,,,
,,,,,,,,,,
0B,00001011,xxx+x+初始/initial,,,,,,,,
7,bit4,bit6,bit7,bit4+bit6+bit7,bit4+bit6+bit7,,,,,
6,bit3+bit7,bit5,bit6,bit3+bit7+bit5+bit6,bit3+bit7+bit5+bit6,,,,,
